Date,Price,Open,High,Low,Volume,Change
03/27/2022,1004.4,1007.3,1008.65,1003.0,,-0.62
03/25/2022,1010.7,1032.0,1039.9,1004.9,9.75K,-2.23
03/24/2022,1033.7,1028.8,1041.9,1017.0,8.38K,1.02
03/23/2022,1023.3,1029.0,1035.3,1017.6,6.02K,-0.32
03/22/2022,1026.6,1042.5,1049.3,1018.1,4.78K,-1.79
03/21/2022,1045.3,1031.5,1049.9,1026.0,6.12K,1.46
03/20/2022,1030.3,1029.1,1033.55,1028.25,,-0.56
03/18/2022,1036.1,1027.0,1043.0,1024.8,4.08K,0.51
03/17/2022,1030.8,1019.1,1034.9,1014.2,2.83K,2.28
03/16/2022,1007.8,986.0,1023.1,984.5,3.62K,0.52
03/15/2022,1002.6,1042.0,1042.0,983.4,5.80K,-4.59
03/14/2022,1050.8,1093.6,1094.2,1035.9,3.41K,-2.44
03/13/2022,1077.1,1090.7,1100.0,1075.4,,-0.83
03/11/2022,1086.1,1080.4,1096.6,1063.9,3.19K,-0.61
03/10/2022,1092.8,1101.2,1111.9,1077.6,3.20K,-1.18
03/09/2022,1105.8,1170.6,1187.2,1086.0,6.75K,-3.96
03/08/2022,1151.4,1125.9,1190.0,1120.0,5.28K,3.17
03/07/2022,1116.0,1126.0,1161.4,1105.2,3.86K,-3.1
03/06/2022,1151.7,1124.4,1155.55,1124.4,,3.14
03/04/2022,1116.6,1081.1,1128.0,1072.0,2.89K,3.3
03/03/2022,1080.9,1075.0,1095.1,1070.2,2.61K,1.19
03/02/2022,1068.2,1058.0,1077.5,1053.5,1.84K,1.45
03/01/2022,1052.9,1045.9,1067.2,1042.2,2.20K,1.26
02/28/2022,1039.8,1075.1,1078.8,1035.9,1.25K,-2.14
02/27/2022,1062.55,1058.4,1078.1,1058.4,,1.09
02/25/2022,1051.1,1060.0,1067.6,1049.4,2.02K,-1.06
02/24/2022,1062.4,1096.95,1131.6,1040.3,,-2.75
02/23/2022,1092.4,1081.4,1097.5,1079.4,1.51K,0.57
02/22/2022,1086.2,1071.0,1095.0,1071.0,1.52K,-0.03
02/21/2022,1086.55,1079.45,1089.4,1070.1,,0.68
02/20/2022,1079.2,1071.5,1080.6,1070.6,,0.17
02/18/2022,1077.4,1090.5,1098.2,1067.4,1.96K,-1.33
02/17/2022,1091.9,1062.7,1095.2,1057.3,0.70K,2.73
02/16/2022,1062.9,1021.8,1065.4,1021.4,0.45K,4.19
02/15/2022,1020.2,1030.6,1035.0,1006.9,0.42K,-0.83
02/14/2022,1028.7,1039.9,1043.8,1022.0,0.59K,-0.92
02/13/2022,1038.25,1030.35,1039.15,1025.55,,1.83
02/11/2022,1019.6,1026.2,1036.2,1009.0,0.85K,-2.24
02/10/2022,1043.0,1035.5,1058.6,1017.6,0.57K,0.47
02/09/2022,1038.1,1033.1,1042.3,1024.0,0.86K,0.12
02/08/2022,1036.9,1021.5,1036.8,1005.1,0.32K,1.59
02/07/2022,1020.7,1028.3,1029.7,1011.0,1.75K,-0.65
02/06/2022,1027.4,1023.7,1028.8,1023.7,,0.27
02/04/2022,1024.6,1036.0,1037.4,1013.9,3.13K,-0.55
02/03/2022,1030.3,1037.3,1041.2,1020.5,2.33K,-1.24
02/02/2022,1043.2,1030.0,1046.6,1026.7,0.17K,2.01
02/01/2022,1022.6,1019.7,1045.9,1019.7,0.24K,0.26
01/31/2022,1019.9,1011.9,1023.0,1010.3,0.20K,1.07
01/30/2022,1009.1,1012.55,1012.55,1007.35,,0.27
01/28/2022,1006.4,1024.5,1030.0,992.0,0.36K,-1.51
01/27/2022,1021.8,1034.7,1039.3,1012.4,16.43K,-2.3
01/26/2022,1045.9,1027.6,1064.6,1024.4,25.40K,1.99
01/25/2022,1025.5,1028.9,1034.2,1006.9,13.82K,0.51
01/24/2022,1020.3,1034.0,1041.8,1003.2,16.95K,-1.43
01/23/2022,1035.1,1030.8,1035.1,1027.6,,0.0
01/21/2022,1035.1,1043.2,1054.0,1028.4,17.76K,-1.49
01/20/2022,1050.8,1025.7,1057.5,1017.5,24.47K,2.18
01/19/2022,1028.4,979.0,1035.5,970.1,29.81K,4.99
01/18/2022,979.5,966.2,987.0,959.6,19.79K,0.89
01/17/2022,970.9,966.9,974.4,962.3,,0.42
01/16/2022,966.85,967.1,967.45,965.35,,0.23
01/14/2022,964.6,968.4,981.0,963.5,10.66K,-0.78
01/13/2022,972.2,976.8,977.7,961.3,10.73K,-0.81
01/12/2022,980.1,969.4,983.0,961.5,13.20K,0.71
01/11/2022,973.2,936.3,975.0,935.1,20.75K,4.24
01/10/2022,933.6,958.1,961.4,919.5,17.86K,-2.14
01/09/2022,954.05,958.15,958.55,953.1,,-0.26
01/07/2022,956.5,966.0,972.2,947.7,12.72K,-0.44
01/06/2022,960.7,983.8,987.7,952.0,18.49K,-4.11
01/05/2022,1001.9,972.6,1004.8,966.2,18.94K,3.16
01/04/2022,971.2,955.4,983.6,946.1,15.04K,1.8
01/03/2022,954.0,968.7,985.0,928.7,18.49K,-1.74
01/02/2022,970.85,964.3,978.8,964.3,,0.48
12/31/2021,966.2,963.3,968.9,948.8,8.29K,0.17
12/30/2021,964.6,970.2,973.4,958.0,9.89K,-0.53
12/29/2021,969.7,978.5,978.5,960.25,,-1.03
