Date,Price,Open,High,Low,Change
06/13/2023,9.0401,9.2036,9.2207,9.0386,-1.75
06/12/2023,9.2009,9.237,9.2785,9.1976,-0.39
06/09/2023,9.2367,9.3333,9.3485,9.2295,-0.94
06/08/2023,9.324,9.3392,9.366,9.309,-0.12
06/07/2023,9.3354,9.3073,9.3744,9.2909,0.34
06/06/2023,9.3039,9.3251,9.3624,9.2861,-0.16
06/05/2023,9.3192,9.329,9.3635,9.3028,-0.12
06/02/2023,9.33,9.463,9.4725,9.3216,-1.32
06/01/2023,9.4545,9.4812,9.5297,9.4444,-0.23
05/31/2023,9.4766,9.4429,9.5195,9.4096,0.4
05/30/2023,9.439,9.4338,9.4543,9.3983,0.13
05/29/2023,9.4267,9.407,9.4524,9.3913,0.24
05/26/2023,9.4039,9.5055,9.5143,9.4029,-1.06
05/25/2023,9.5051,9.4563,9.5393,9.4433,0.55
05/24/2023,9.4531,9.5259,9.5421,9.4516,-0.69
05/23/2023,9.5188,9.4813,9.5439,9.4418,0.43
05/22/2023,9.478,9.6012,9.6356,9.4764,-1.32
05/19/2023,9.6043,9.621,9.6599,9.5514,-0.14
05/18/2023,9.6182,9.694,9.7168,9.6101,-0.73
05/17/2023,9.6894,9.8455,9.8569,9.6804,-1.54
05/16/2023,9.8413,9.8132,9.8766,9.798,0.32
05/15/2023,9.8102,9.8997,9.902,9.7931,-0.8
05/12/2023,9.8896,9.8928,9.9382,9.8728,0.0
05/11/2023,9.8895,9.8109,9.9525,9.7941,0.84
05/10/2023,9.807,9.808,9.8483,9.7692,0.04
05/09/2023,9.8035,9.7878,9.8342,9.7759,0.23
05/08/2023,9.7808,9.7753,9.8334,9.741,0.12
05/05/2023,9.7692,9.8538,9.868,9.7562,-0.82
05/04/2023,9.85,9.9136,9.9344,9.8173,-0.57
05/03/2023,9.9068,9.8322,9.9178,9.8061,0.79
05/02/2023,9.8287,9.7682,9.8495,9.7132,0.7
05/01/2023,9.7606,9.8182,9.8263,9.7546,-0.55
04/28/2023,9.8142,10.0001,10.0438,9.7974,-1.81
04/27/2023,9.9953,10.0133,10.0646,9.986,-0.14
04/26/2023,10.0098,10.0308,10.0751,9.9807,-0.17
04/25/2023,10.0268,9.9298,10.0725,9.903,1.02
04/24/2023,9.9256,9.9213,9.9648,9.8948,0.18
04/21/2023,9.9073,9.8632,9.9515,9.8406,0.49
04/20/2023,9.8593,9.8741,9.883,9.8014,-0.1
04/19/2023,9.8694,9.8392,9.9237,9.8015,0.35
04/18/2023,9.8347,9.8119,9.854,9.7818,0.28
04/17/2023,9.8075,9.7465,9.8478,9.7334,0.63
04/14/2023,9.7459,9.8219,9.8479,9.7384,-0.72
04/13/2023,9.8166,9.9378,9.9746,9.7916,-1.18
04/12/2023,9.9334,9.8938,9.9962,9.8699,0.45
04/11/2023,9.8888,9.8865,9.9472,9.8659,0.06
04/10/2023,9.8827,9.9628,9.9946,9.8699,-0.78
04/07/2023,9.9599,10.0094,10.0323,9.9396,-0.45
04/06/2023,10.0046,10.0329,10.0938,9.9816,-0.25
04/05/2023,10.0293,9.9505,10.0591,9.9483,0.84
04/04/2023,9.9459,9.8862,10.0027,9.8456,0.65
04/03/2023,9.8813,9.8243,9.9404,9.7874,0.48
03/31/2023,9.8337,9.7771,9.8539,9.6795,0.62
03/30/2023,9.7735,9.829,9.8685,9.7547,-0.5
03/29/2023,9.8231,9.9138,9.9245,9.8161,-0.86
03/28/2023,9.9079,9.8685,9.9569,9.8484,0.44
03/27/2023,9.8649,9.9277,9.9693,9.8544,-0.4
03/24/2023,9.9041,9.8355,10.0749,9.8056,0.75
03/23/2023,9.8306,9.8802,9.9192,9.7357,-0.42
03/22/2023,9.8718,9.8391,9.9024,9.7977,0.38
03/21/2023,9.8342,9.939,9.9902,9.8325,-0.98
03/20/2023,9.9319,9.8787,10.0533,9.8056,0.08
03/17/2023,9.9239,9.7338,9.9359,9.7275,2.05
03/16/2023,9.7245,9.8443,9.9612,9.7255,-1.18
03/15/2023,9.8407,9.7221,9.9969,9.6548,1.25
03/14/2023,9.7188,9.7365,9.8441,9.6834,-0.14
03/13/2023,9.7326,9.7843,9.8883,9.6624,-0.47
03/10/2023,9.7788,9.7382,9.8037,9.6257,0.45
03/09/2023,9.7349,9.5866,9.7534,9.585,1.59
03/08/2023,9.5827,9.6121,9.6378,9.5658,-0.27
03/07/2023,9.6086,9.5479,9.6341,9.536,0.73
03/06/2023,9.5392,9.5365,9.5787,9.5133,0.04
03/03/2023,9.5351,9.5879,9.6069,9.5147,-0.51
03/02/2023,9.5838,9.5886,9.6412,9.5763,-0.01
03/01/2023,9.5845,9.7155,9.7245,9.5534,-1.3
02/28/2023,9.711,9.6781,9.7353,9.6386,0.43
02/27/2023,9.669,9.632,9.7237,9.6212,0.4
02/24/2023,9.6304,9.634,9.7126,9.6285,-0.02
02/23/2023,9.6326,9.6583,9.6906,9.5676,-0.22
02/22/2023,9.6543,9.6749,9.7018,9.6269,-0.17
02/21/2023,9.6708,9.6564,9.7106,9.6257,0.17
02/20/2023,9.6546,9.6592,9.6865,9.6294,-0.03
02/17/2023,9.6577,9.6304,9.6841,9.6128,0.32
02/16/2023,9.6268,9.5715,9.646,9.5533,0.64
02/15/2023,9.5658,9.5602,9.6605,9.5529,0.07
02/14/2023,9.5593,9.616,9.6412,9.5353,-0.55
02/13/2023,9.6118,9.6494,9.6837,9.588,-0.32
02/10/2023,9.6428,9.6133,9.7136,9.5828,0.35
02/09/2023,9.6089,9.5968,9.6452,9.5819,0.17
02/08/2023,9.5925,9.5808,9.6482,9.5554,0.14
02/07/2023,9.5793,9.51,9.6447,9.4646,0.85
02/06/2023,9.4984,9.446,9.5405,9.4023,-0.1
02/03/2023,9.5081,9.5224,9.5921,9.463,-0.1
02/02/2023,9.518,9.4787,9.5587,9.4565,0.42
02/01/2023,9.478,9.4825,9.5361,9.4277,0.0
01/31/2023,9.4782,9.4433,9.5197,9.4289,0.41
01/30/2023,9.4394,9.4826,9.5046,9.4216,-0.3
01/27/2023,9.4674,9.4626,9.5304,9.4528,0.08
01/26/2023,9.4597,9.514,9.5513,9.4522,-0.53
01/25/2023,9.5098,9.4725,9.5615,9.4349,0.44
01/24/2023,9.4682,9.4156,9.5044,9.4027,0.6
01/23/2023,9.4114,9.5005,9.5319,9.4024,-0.74
01/20/2023,9.4819,9.5972,9.6111,9.4601,-1.16
01/19/2023,9.5929,9.6055,9.6718,9.5924,-0.09
01/18/2023,9.6012,9.6592,9.6617,9.4375,-0.57
01/17/2023,9.6562,9.6611,9.685,9.596,-0.01
01/16/2023,9.6571,9.6819,9.6932,9.6057,-0.16
01/13/2023,9.6729,9.5912,9.724,9.5587,0.92
01/12/2023,9.5848,9.3781,9.5997,9.3767,2.2
01/11/2023,9.3781,9.3844,9.4447,9.368,-0.02
01/10/2023,9.3801,9.3998,9.4558,9.3794,-0.17
01/09/2023,9.3963,9.5043,9.5239,9.3659,-0.98
01/06/2023,9.489,9.5535,9.5636,9.4129,-0.65
01/05/2023,9.5515,9.586,9.6459,9.5102,-0.31
01/04/2023,9.5815,9.7668,9.7851,9.5764,-1.84
01/03/2023,9.7612,9.713,9.8263,9.666,0.58
01/02/2023,9.705,9.624,9.7383,9.6203,0.93
12/30/2022,9.6151,9.4819,9.6306,9.4698,1.44
12/29/2022,9.4786,9.4789,9.5239,9.4424,0.02
