,Gold_Price,Gold_Open,Gold_High,Gold_Low,Gold_Volume,Gold_Change,USD_Price,USD_Open,USD_High,USD_Low,USD_Change
2023-03-09,1834.6,1818.0,1839.4,1815.4,228.47K,0.88,1325.51,1316.77,1327.76,1314.76,0.69
2023-03-10,1867.2,1835.1,1874.3,1830.0,345.81K,1.78,1320.24,1325.82,1329.78,1309.77,-0.4
2023-03-11,,,,,,,,,,,
2023-03-12,,,,,,,,,,,
2023-03-13,1916.5,1877.1,1919.5,1875.7,452.33K,2.64,1296.58,1319.1,1320.64,1296.14,-1.79
2023-03-14,1910.9,1919.4,1919.4,1899.8,261.28K,-0.29,1304.55,1296.94,1314.24,1296.23,0.61
2023-03-15,1948.1,1924.5,1959.1,1906.0,84.73K,1.95,1313.04,1304.94,1323.29,1295.9,0.65
2023-03-16,1939.7,1940.2,1954.6,1928.4,34.77K,-0.43,1300.85,1313.38,1317.07,1301.3,-0.93
2023-03-17,1990.2,1942.7,2010.4,1939.1,67.46K,2.6,1308.37,1301.84,1309.71,1298.24,0.58
2023-03-18,,,,,,,,,,,
2023-03-19,,,,,,,,,,,
2023-03-20,1999.7,2008.6,2031.7,1987.0,69.06K,0.48,1304.36,1309.1,1314.03,1299.35,-0.31
2023-03-21,1958.3,2000.7,2005.7,1955.9,65.17K,-2.07,1303.42,1303.87,1311.59,1301.99,-0.07
2023-03-22,1966.6,1959.7,1999.4,1953.7,60.53K,0.42,1297.85,1303.82,1310.36,1288.56,-0.43
2023-03-23,2013.3,1992.5,2023.3,1984.4,74.55K,2.37,1286.23,1297.58,1300.3,1275.81,-0.9
2023-03-24,2001.7,2013.3,2023.9,1995.7,118.69K,-0.58,1294.66,1286.67,1307.96,1283.16,0.66
2023-03-25,,,,,,,,,,,
2023-03-26,,,,,,,,,,,
2023-03-27,1971.5,2000.3,2001.5,1962.7,107.04K,-1.51,1297.92,1295.24,1303.91,1294.14,0.25
2023-03-28,1973.5,1957.8,1977.1,1949.9,183.58K,0.1,1297.04,1298.35,1301.38,1293.24,-0.07
2023-03-29,1966.9,1975.4,1976.0,1959.5,88.56K,-0.33,1305.3,1297.46,1308.45,1294.95,0.64
2023-03-30,1980.3,1965.9,1984.4,1954.9,10.12K,0.68,1296.55,1307.13,1308.17,1296.24,-0.67
2023-03-31,1969.0,1981.3,1986.8,1968.0,0.96K,-0.57,1306.11,1296.97,1308.53,1288.35,0.74
2023-04-01,,,,,,,,,,,
2023-04-02,,,,,,,,,,,
2023-04-03,1983.9,1968.1,1991.7,1950.0,0.74K,0.76,1308.58,1306.47,1320.92,1305.7,0.19
2023-04-04,2022.2,1984.6,2027.1,1979.0,0.81K,1.93,1310.08,1308.76,1317.58,1304.58,0.11
2023-04-05,2020.9,2022.1,2033.8,2013.6,0.53K,-0.06,1317.05,1310.54,1318.41,1308.71,0.53
2023-04-06,2011.9,2022.2,2023.3,2005.0,0.49K,-0.45,1318.5,1317.36,1322.65,1314.65,0.11
2023-04-07,,,,,,,1316.3,1318.99,1320.22,1314.53,-0.17
2023-04-08,,,,,,,,,,,
2023-04-09,,,,,,,,,,,
2023-04-10,1989.1,2000.0,2006.6,1984.0,0.65K,-1.13,1320.62,1316.39,1324.02,1315.3,0.33
2023-04-11,2004.8,1991.4,2006.5,1991.4,0.07K,0.79,1322.03,1320.99,1324.81,1316.26,0.11
2023-04-12,2010.9,2005.2,2025.7,2005.2,0.17K,0.3,1322.63,1322.45,1328.49,1319.39,0.05
2023-04-13,2041.3,2015.6,2048.6,2015.6,1.04K,1.51,1301.14,1323.07,1327.66,1299.31,-1.62
2023-04-14,2002.2,2041.0,2047.8,1995.0,0.72K,-1.92,1304.0,1301.94,1307.83,1294.29,0.22
2023-04-15,,,,,,,,,,,
2023-04-16,,,,,,,,,,,
2023-04-17,1994.2,2002.7,2007.6,1983.2,0.55K,-0.4,1319.11,1304.38,1322.67,1303.7,1.16
2023-04-18,2010.3,1997.1,2013.4,1994.5,0.22K,0.81,1319.13,1319.51,1321.44,1315.72,0.0
2023-04-19,1998.0,2008.5,2009.7,1971.9,0.92K,-0.61,1329.71,1319.55,1336.54,1313.69,0.8
2023-04-20,2009.8,1996.5,2014.5,1994.2,0.42K,0.59,1323.61,1330.14,1332.97,1318.97,-0.46
2023-04-21,1981.3,2005.1,2007.0,1973.0,0.62K,-1.42,1329.36,1324.04,1333.07,1321.24,0.43
2023-04-22,,,,,,,,,,,
2023-04-23,,,,,,,,,,,
2023-04-24,1990.6,1983.2,1991.0,1975.3,0.54K,0.47,1332.51,1330.38,1337.64,1328.48,0.24
2023-04-25,1995.1,1995.4,2005.0,1979.3,0.85K,0.23,1340.89,1332.94,1344.19,1328.19,0.63
2023-04-26,1986.9,2000.0,2009.8,1986.6,0.62K,-0.41,1338.01,1341.31,1341.95,1334.47,-0.21
2023-04-27,1999.0,1999.8,2013.3,1982.0,203.90K,0.61,1339.17,1338.44,1346.63,1336.69,0.09
2023-04-28,1999.1,1997.2,2004.1,1984.4,172.45K,0.01,1337.78,1339.57,1342.19,1336.21,-0.1
2023-04-29,,,,,,,,,,,
2023-04-30,,,,,,,,,,,
2023-05-01,1992.2,2000.2,2015.4,1985.7,173.02K,-0.35,1342.18,1338.17,1343.95,1336.43,0.33
2023-05-02,2023.3,1990.5,2028.8,1986.9,245.64K,1.56,1342.21,1343.07,1344.08,1337.36,0.0
2023-05-03,2037.0,2026.4,2050.0,2016.0,229.67K,0.68,1334.44,1342.64,1343.21,1329.31,-0.58
2023-05-04,2055.7,2054.7,2085.4,2038.5,311.00K,0.92,1322.95,1335.41,1335.99,1320.29,-0.86
2023-05-05,2024.8,2058.0,2061.3,2007.0,283.30K,-1.5,1317.47,1323.27,1323.74,1315.11,-0.41
2023-05-06,,,,,,,,,,,
2023-05-07,,,,,,,,,,,
2023-05-08,2033.2,2024.6,2037.1,2022.0,182.21K,0.41,1321.49,1317.96,1326.23,1317.94,0.31
2023-05-09,2042.9,2028.4,2045.1,2026.4,199.70K,0.48,1325.92,1322.71,1327.36,1319.61,0.34
2023-05-10,2037.1,2041.6,2056.0,2028.3,260.81K,-0.28,1317.76,1326.33,1327.13,1316.5,-0.62
2023-05-11,2020.5,2036.8,2047.6,2016.7,296.98K,-0.81,1330.83,1318.21,1334.74,1315.58,0.99
2023-05-12,2019.8,2020.5,2027.8,2005.7,220.50K,-0.03,1342.41,1331.14,1343.35,1329.04,0.87
2023-05-13,,,,,,,,,,,
2023-05-14,,,,,,,,,,,
2023-05-15,2018.0,2013.8,2017.1,2013.8,0.00K,-0.09,1335.36,1342.48,1342.85,1333.86,-0.53
2023-05-16,1988.4,2021.3,2022.7,1989.1,0.05K,-1.47,1342.35,1335.79,1343.63,1332.91,0.52
2023-05-17,1980.7,1983.6,1983.6,1983.6,0.01K,-0.39,1334.23,1342.78,1343.91,1332.44,-0.6
2023-05-18,1956.5,1956.8,1956.8,1956.8,0.02K,-1.22,1334.43,1334.71,1338.79,1329.16,0.01
2023-05-19,1978.7,1960.0,1976.7,1960.0,0.11K,1.13,1325.2,1333.99,1335.94,1323.3,-0.69
2023-05-20,,,,,,,,,,,
2023-05-21,,,,,,,,,,,
2023-05-22,1974.8,1980.5,1980.5,1980.5,0.01K,-0.2,1313.75,1325.21,1326.34,1313.06,-0.86
2023-05-23,1972.4,1973.9,1980.0,1955.8,0.00K,-0.12,1319.21,1314.17,1322.53,1307.65,0.42
2023-05-24,1962.8,1975.4,1975.4,1969.2,0.19K,-0.49,1318.43,1320.26,1322.18,1314.28,-0.06
2023-05-25,1943.1,1959.5,1965.4,1939.0,0.00K,-1.0,1331.19,1318.77,1332.06,1316.49,0.97
2023-05-26,1963.1,1961.8,1975.7,1954.7,130.07K,1.03,1322.66,1331.2,1331.93,1322.72,-0.64
2023-05-27,,,,,,,,,,,
2023-05-28,1961.5,1964.55,1964.55,1960.05,,-0.08,,,,,
2023-05-29,1959.75,1961.45,1968.15,1958.1,,-0.09,1324.07,1323.43,1326.76,1320.98,0.11
2023-05-30,1977.1,1961.3,1981.9,1949.6,264.37K,0.89,1319.76,1324.96,1327.01,1316.9,-0.33
2023-05-31,1982.1,1977.5,1993.1,1971.8,207.75K,0.25,1320.56,1320.16,1328.75,1315.56,0.06
2023-06-01,1995.5,1981.3,2000.7,1970.1,176.91K,0.68,1312.64,1322.33,1325.07,1312.41,-0.6
2023-06-02,1969.6,1994.6,2000.5,1963.7,209.69K,-1.3,1305.92,1313.18,1314.48,1298.61,-0.51
2023-06-03,,,,,,,,,,,
2023-06-04,,,,,,,,,,,
2023-06-05,1974.3,1962.3,1980.4,1953.8,179.99K,0.24,1300.78,1306.06,1311.02,1300.57,-0.39
2023-06-06,1981.5,1978.0,1982.9,1970.3,136.00K,0.36,1299.19,1301.08,1304.31,1295.74,-0.12
2023-06-07,1958.4,1980.0,1986.5,1955.4,189.53K,-1.17,1308.26,1299.61,1309.44,1296.23,0.7
2023-06-08,1978.6,1956.2,1985.7,1955.2,191.84K,1.03,1295.47,1308.66,1309.3,1296.15,-0.98
2023-06-09,1977.2,1980.5,1987.8,1971.0,130.41K,-0.07,1287.32,1296.59,1298.65,1286.58,-0.63
2023-06-10,,,,,,,,,,,
2023-06-11,,,,,,,,,,,
2023-06-12,1969.7,1975.6,1981.4,1963.1,122.54K,-0.38,1284.54,1287.69,1294.65,1282.8,-0.22
2023-06-13,1958.6,1971.4,1985.9,1953.0,198.40K,-0.56,1267.7,1284.86,1285.88,1267.07,-1.31
2023-06-14,1968.9,1957.2,1973.9,1952.5,199.71K,0.53,1274.01,1268.02,1280.42,1265.75,0.5
2023-06-15,1961.8,1948.8,1963.7,1929.6,0.82K,-0.36,1270.0,1274.39,1286.48,1269.8,-0.31
2023-06-16,1962.2,1961.3,1970.6,1956.7,0.62K,0.02,1276.15,1270.4,1280.96,1268.08,0.48
2023-06-17,,,,,,,,,,,
2023-06-18,1969.45,1970.85,1971.7,1968.65,,0.37,,,,,
2023-06-19,1964.05,1969.55,1970.85,1959.9,,-0.27,1282.26,1277.24,1284.54,1276.4,0.48
2023-06-20,1938.9,1961.7,1961.7,1932.4,0.74K,-1.28,1288.23,1283.26,1290.36,1277.99,0.47
2023-06-21,1936.1,1939.5,1940.7,1922.2,0.81K,-0.14,1288.33,1288.74,1296.95,1285.94,0.01
2023-06-22,1915.0,1935.9,1935.9,1914.0,0.37K,-1.09,1298.18,1288.74,1303.21,1286.1,0.76
2023-06-23,1921.0,1915.0,1939.3,1911.3,0.75K,0.31,1308.41,1298.59,1311.37,1296.25,0.79
2023-06-24,,,,,,,,,,,
2023-06-25,,,,,,,,,,,
2023-06-26,1925.1,1926.4,1934.5,1923.0,0.77K,0.21,1304.98,1308.74,1309.57,1300.82,-0.26
