,Silver_Price,Silver_Open,Silver_High,Silver_Low,Silver_Volume,Silver_Change,Gold_Price,Gold_Open,Gold_High,Gold_Low,Gold_Volume,Gold_Change,USD_Price,USD_Open,USD_High,USD_Low,USD_Change
2015-12-25,,,,,,,,,,,,,1170.95,1169.54,1171.7,1168.72,0.08
2015-12-26,,,,,,,,,,,,,,,,,
2015-12-27,,,,,,,,,,,,,,,,,
2015-12-28,13.884,14.365,14.425,13.85,34.87K,-3.44,1068.3,1075.2,1076.5,1065.7,70.86K,-0.71,1168.85,1168.0,1170.05,1162.72,-0.18
2015-12-29,13.928,13.915,14.055,13.9,24.70K,0.32,1068.0,1068.3,1074.6,1066.7,87.64K,-0.03,1171.56,1169.05,1172.31,1166.9,0.23
2015-12-30,13.842,13.925,13.985,13.75,24.31K,-0.62,1059.8,1068.2,1071.5,1058.5,98.71K,-0.77,1177.51,1171.41,1179.2,1169.13,0.51
2015-12-31,13.803,13.865,13.96,13.765,17.24K,-0.28,1060.2,1060.6,1062.7,1056.5,55.71K,0.04,1175.95,1177.54,1177.73,1174.4,-0.13
2016-01-01,,,,,,,,,,,,,1175.45,1175.94,1176.5,1175.19,-0.04
2016-01-02,,,,,,,,,,,,,,,,,
2016-01-03,,,,,,,,,,,,,,,,,
2016-01-04,13.841,13.815,14.185,13.8,51.63K,0.28,1075.2,1061.5,1083.0,1061.0,159.79K,1.41,1190.35,1175.66,1193.23,1175.65,1.27
2016-01-05,13.971,13.86,14.065,13.845,29.58K,0.94,1078.4,1073.5,1081.5,1071.9,104.64K,0.3,1190.81,1190.35,1192.8,1184.4,0.04
2016-01-06,13.976,13.95,14.135,13.855,40.05K,0.04,1091.9,1076.8,1094.9,1074.4,191.80K,1.25,1200.52,1190.81,1203.8,1187.59,0.82
2016-01-07,14.344,13.995,14.385,13.92,68.54K,2.63,1107.8,1093.7,1109.9,1091.1,217.27K,1.46,1197.29,1200.52,1204.7,1193.16,-0.27
2016-01-08,13.918,14.325,14.34,13.87,52.19K,-2.97,1097.9,1108.8,1113.1,1091.8,193.45K,-0.89,1207.94,1197.29,1214.65,1191.9,0.89
2016-01-09,,,,,,,,,,,,,,,,,
2016-01-10,,,,,,,,,,,,,,,,,
2016-01-11,13.866,13.965,14.075,13.825,41.86K,-0.37,1096.2,1103.6,1108.3,1093.1,193.21K,-0.15,1204.76,1207.94,1211.5,1202.19,-0.26
2016-01-12,13.751,13.875,13.91,13.73,38.76K,-0.83,1085.2,1094.0,1099.1,1083.1,167.65K,-1.0,1210.33,1204.63,1213.5,1203.97,0.46
2016-01-13,14.156,13.785,14.205,13.75,50.02K,2.95,1087.1,1086.8,1095.6,1079.4,156.11K,0.18,1210.24,1210.4,1215.2,1201.3,-0.01
2016-01-14,13.748,14.175,14.185,13.74,50.73K,-2.88,1073.6,1093.6,1095.4,1071.1,174.24K,-1.24,1207.74,1210.24,1219.07,1207.5,-0.21
2016-01-15,13.896,13.85,14.135,13.765,44.61K,1.08,1090.7,1079.2,1097.5,1076.0,173.46K,1.59,1214.81,1207.73,1221.7,1206.58,0.59
2016-01-16,,,,,,,,,,,,,,,,,
2016-01-17,,,,,,,,,,,,,,,,,
2016-01-18,14.121,13.92,14.185,13.84,46.36K,1.62,1089.1,1089.3,1094.5,1082.1,160.11K,-0.15,1211.57,1214.81,1217.2,1208.26,-0.27
2016-01-19,14.121,13.92,14.185,13.84,46.36K,0.0,1089.0,1089.7,1093.4,1082.0,0.25K,-0.01,1207.49,1211.72,1214.2,1202.06,-0.34
2016-01-20,14.16,14.035,14.22,13.995,39.85K,0.28,1106.2,1087.3,1109.9,1087.1,193.28K,1.58,1209.25,1207.39,1219.15,1207.11,0.15
2016-01-21,14.094,14.175,14.21,13.885,48.80K,-0.47,1098.2,1100.9,1106.2,1092.5,178.74K,-0.72,1203.76,1208.43,1214.3,1202.2,-0.45
