,Silver_Price,Silver_Open,Silver_High,Silver_Low,Silver_Volume,Silver_Change,Gold_Price,Gold_Open,Gold_High,Gold_Low,Gold_Volume,Gold_Change,USD_Price,USD_Open,USD_High,USD_Low,USD_Change
2015-05-09,,,,,,,,,,,,,,,,,
2015-05-10,,,,,,,,,,,,,,,,,
2015-05-11,16.314,16.415,16.55,16.2,33.89K,-0.92,1183.0,1189.0,1190.9,1178.0,128.10K,-0.5,1097.14,1088.4,1097.9,1084.8,0.84
2015-05-12,16.526,16.285,16.595,16.12,38.56K,1.3,1192.4,1182.5,1196.3,1179.7,139.26K,0.79,1093.24,1097.14,1098.8,1092.22,-0.36
2015-05-13,17.221,16.52,17.235,16.48,77.19K,4.21,1218.2,1192.5,1218.5,1190.4,241.72K,2.16,1092.97,1093.22,1101.2,1089.88,-0.02
2015-05-14,17.465,17.16,17.585,17.07,63.92K,1.42,1225.2,1215.0,1227.7,1211.9,177.84K,0.57,1088.61,1092.97,1098.3,1088.4,-0.4
2015-05-15,17.563,17.46,17.585,17.205,47.60K,0.56,1225.3,1220.9,1225.8,1210.6,133.24K,0.01,1083.72,1089.16,1095.8,1083.46,-0.45
2015-05-16,,,,,,,,,,,,,,,,,
2015-05-17,,,,,,,,,,,,,,,,,
2015-05-18,17.732,17.535,17.775,17.475,39.80K,0.96,1227.6,1222.8,1232.0,1221.2,120.82K,0.19,1090.45,1084.1,1091.35,1083.6,0.62
2015-05-19,17.071,17.705,17.735,16.87,59.14K,-3.73,1206.7,1225.4,1225.5,1205.1,178.96K,-1.7,1095.37,1090.45,1096.15,1088.15,0.45
2015-05-20,17.113,17.095,17.28,16.935,34.83K,0.25,1208.7,1207.7,1213.2,1202.7,127.89K,0.17,1096.28,1095.39,1099.15,1093.67,0.08
2015-05-21,17.132,17.1,17.25,17.0,21.29K,0.11,1204.1,1209.4,1212.4,1200.8,139.67K,-0.38,1093.32,1096.16,1097.92,1092.48,-0.27
2015-05-22,17.051,17.14,17.335,16.94,31.25K,-0.47,1204.0,1206.0,1214.6,1201.0,142.93K,-0.01,1096.68,1093.32,1096.75,1088.9,0.31
2015-05-23,,,,,,,,,,,,,,,,,
2015-05-24,,,,,,,,,,,,,,,,,
2015-05-25,16.746,17.05,17.18,16.645,48.46K,-1.79,1186.9,1205.2,1208.2,1184.8,244.62K,-1.42,1096.96,1097.55,1098.31,1096.39,0.03
2015-05-26,16.746,17.05,17.18,16.645,48.46K,0.0,1187.3,1205.7,1208.5,1185.4,0.43K,0.03,1107.92,1097.02,1108.35,1096.69,1.0
2015-05-27,16.647,16.735,16.81,16.58,31.98K,-0.59,1185.6,1186.7,1190.4,1183.0,200.22K,-0.14,1109.43,1107.75,1112.21,1104.19,0.14
2015-05-28,16.669,16.675,16.775,16.54,35.37K,0.13,1188.8,1188.0,1192.8,1180.2,150.00K,0.27,1108.68,1109.43,1111.62,1104.49,-0.07
2015-05-29,16.701,16.67,16.85,16.64,30.47K,0.19,1189.8,1188.1,1194.4,1186.0,102.17K,0.08,1113.01,1108.68,1115.64,1106.89,0.39
2015-05-30,,,,,,,,,,,,,,,,,
2015-05-31,,,,,,,,,,,,,,,,,
2015-06-01,16.68,16.695,17.17,16.59,56.49K,-0.13,1188.7,1189.8,1204.7,1184.0,171.25K,-0.09,1116.2,1113.35,1117.31,1109.4,0.29
2015-06-02,16.799,16.725,16.84,16.61,41.68K,0.71,1194.4,1189.5,1196.4,1185.8,111.47K,0.48,1107.58,1116.15,1117.8,1106.87,-0.77
2015-06-03,16.48,16.775,16.795,16.375,56.53K,-1.9,1184.9,1193.8,1195.6,1179.1,124.18K,-0.8,1107.51,1107.6,1110.8,1103.9,-0.01
2015-06-04,16.103,16.48,16.5,16.065,54.53K,-2.29,1175.2,1185.8,1186.6,1172.4,155.46K,-0.82,1113.65,1107.43,1114.7,1106.82,0.55
2015-06-05,15.984,16.065,16.16,15.925,59.68K,-0.74,1168.1,1176.5,1178.0,1162.1,150.68K,-0.6,1124.54,1113.7,1124.8,1110.75,0.98
2015-06-06,,,,,,,,,,,,,,,,,
2015-06-07,,,,,,,,,,,,,,,,,
2015-06-08,15.959,16.04,16.11,15.88,46.03K,-0.16,1173.6,1170.8,1177.1,1168.5,107.09K,0.47,1118.87,1124.95,1126.95,1118.12,-0.5
2015-06-09,15.957,15.92,16.135,15.905,45.74K,-0.01,1177.6,1173.2,1182.3,1171.8,91.63K,0.34,1121.45,1118.87,1123.25,1117.75,0.23
2015-06-10,15.959,15.91,16.19,15.895,45.25K,0.01,1186.6,1175.8,1191.8,1174.3,124.68K,0.76,1110.86,1121.45,1123.2,1108.0,-0.94
2015-06-11,15.96,15.96,16.04,15.77,49.75K,0.01,1180.4,1185.7,1187.4,1174.8,114.93K,-0.52,1113.44,1110.72,1116.19,1105.9,0.23
2015-06-12,15.825,15.98,16.005,15.785,37.56K,-0.85,1179.2,1180.8,1183.7,1175.6,86.35K,-0.1,1112.17,1113.4,1118.32,1109.19,-0.11
2015-06-13,,,,,,,,,,,,,,,,,
2015-06-14,,,,,,,,,,,,,,,,,
2015-06-15,16.083,15.9,16.235,15.81,49.65K,1.63,1185.8,1180.0,1190.2,1171.9,129.83K,0.56,1116.62,1112.35,1119.6,1111.89,0.4
2015-06-16,15.965,16.035,16.105,15.85,34.00K,-0.73,1180.9,1185.3,1187.4,1175.4,100.20K,-0.41,1118.74,1116.62,1120.74,1115.77,0.19
2015-06-17,15.947,15.965,16.25,15.885,39.27K,-0.11,1176.8,1181.1,1188.8,1173.9,101.55K,-0.35,1115.15,1118.67,1124.69,1112.27,-0.32
2015-06-18,16.153,16.075,16.43,16.02,58.28K,1.29,1202.0,1184.2,1205.7,1183.1,190.69K,2.14,1105.58,1113.78,1114.9,1101.33,-0.86
2015-06-19,16.109,16.11,16.19,15.87,36.16K,-0.27,1201.9,1201.8,1203.9,1198.0,86.06K,-0.01,1103.2,1105.94,1108.8,1100.6,-0.22
2015-06-20,,,,,,,,,,,,,,,,,
2015-06-21,,,,,,,,,,,,,,,,,
2015-06-22,16.142,16.1,16.23,15.985,52.30K,0.2,1184.1,1199.7,1200.8,1181.6,127.15K,-1.48,1101.38,1102.85,1104.8,1098.2,-0.16
2015-06-23,15.737,16.135,16.175,15.67,71.69K,-2.51,1176.6,1185.3,1187.7,1175.6,122.25K,-0.63,1106.73,1101.46,1109.23,1100.67,0.49
2015-06-24,15.853,15.81,15.885,15.72,48.88K,0.74,1172.9,1177.6,1179.7,1168.1,118.45K,-0.31,1110.18,1106.09,1112.63,1104.9,0.31
2015-06-25,15.808,15.85,15.91,15.73,47.05K,-0.28,1171.8,1174.1,1177.3,1170.5,88.85K,-0.09,1111.98,1109.56,1113.33,1108.12,0.16
2015-06-26,15.768,15.84,15.905,15.48,46.94K,-0.25,1173.2,1172.5,1178.0,1167.1,107.92K,0.12,1122.95,1111.99,1126.47,1110.84,0.99
2015-06-27,,,,,,,,,,,,,,,,,
2015-06-28,,,,,,,,,,,,,,,,,
2015-06-29,15.695,15.865,16.04,15.66,52.42K,-0.46,1179.0,1182.5,1187.6,1173.2,145.71K,0.49,1120.16,1122.94,1128.6,1118.4,-0.25
2015-06-30,15.581,15.77,15.84,15.435,59.45K,-0.73,1171.8,1179.8,1180.0,1165.4,148.19K,-0.61,1120.03,1120.07,1121.8,1115.2,-0.01
2015-07-01,15.577,15.615,15.685,15.5,31.34K,-0.03,1169.3,1172.4,1174.4,1166.7,95.18K,-0.21,1125.21,1119.41,1126.97,1115.77,0.46
2015-07-02,15.562,15.53,15.755,15.45,35.02K,-0.1,1163.5,1167.7,1169.2,1155.8,144.73K,-0.5,1123.5,1125.19,1127.03,1119.08,-0.15
2015-07-03,15.753,15.715,15.82,15.495,39.92K,1.23,1173.2,1173.2,1174.4,1161.9,141.90K,0.83,1122.6,1123.5,1125.53,1117.55,-0.08
2015-07-04,,,,,,,,,,,,,,,,,
2015-07-05,,,,,,,,,,,,,,,,,
2015-07-06,15.753,15.63,15.82,15.495,39.92K,0.0,1173.7,1164.5,1174.1,1162.5,0.08K,0.04,1126.09,1122.16,1129.5,1122.14,0.31
2015-07-07,14.969,15.67,15.71,14.62,95.49K,-4.98,1152.6,1168.8,1170.0,1146.8,198.53K,-1.8,1134.8,1126.43,1137.85,1125.79,0.77
2015-07-08,15.163,15.005,15.22,14.705,65.79K,1.3,1163.5,1154.0,1163.8,1145.9,168.01K,0.95,1135.53,1134.78,1140.0,1132.19,0.06
2015-07-09,15.361,15.11,15.525,14.975,46.02K,1.31,1159.2,1157.5,1166.9,1155.1,130.01K,-0.37,1132.22,1136.37,1140.8,1129.75,-0.29
2015-07-10,15.481,15.375,15.635,15.34,30.25K,0.78,1157.9,1158.7,1164.5,1156.4,112.57K,-0.11,1131.2,1132.23,1134.1,1126.46,-0.09
2015-07-11,,,,,,,,,,,,,,,,,
2015-07-12,,,,,,,,,,,,,,,,,
2015-07-13,15.457,15.555,15.9,15.27,37.58K,-0.16,1155.4,1162.3,1163.9,1149.8,126.73K,-0.22,1136.59,1131.84,1137.27,1128.25,0.48
2015-07-14,15.315,15.48,15.48,15.235,28.08K,-0.92,1153.5,1157.0,1159.1,1151.8,109.14K,-0.16,1143.21,1136.61,1145.05,1135.66,0.58
2015-07-15,15.048,15.325,15.36,14.96,34.77K,-1.74,1147.4,1153.9,1155.8,1141.9,150.65K,-0.53,1147.51,1142.86,1149.25,1139.53,0.38
2015-07-16,14.984,15.06,15.145,14.845,30.84K,-0.43,1143.9,1146.2,1148.2,1140.6,125.70K,-0.31,1146.79,1147.47,1151.3,1143.02,-0.06
2015-07-17,14.834,14.955,15.005,14.795,27.75K,-1.0,1131.9,1144.3,1144.5,1129.6,161.00K,-1.05,1150.18,1146.81,1151.33,1145.5,0.3
2015-07-18,,,,,,,,,,,,,,,,,
2015-07-19,,,,,,,,,,,,,,,,,
2015-07-20,14.758,14.83,14.98,14.49,59.33K,-0.51,1106.8,1132.4,1132.5,1080.0,261.35K,-2.22,1156.7,1150.25,1159.13,1149.88,0.57
2015-07-21,14.785,14.635,14.93,14.615,30.46K,0.18,1103.5,1098.0,1108.8,1095.9,172.52K,-0.3,1148.84,1156.71,1160.7,1148.04,-0.68
2015-07-22,14.73,14.81,14.865,14.585,34.47K,-0.37,1091.5,1100.1,1102.3,1085.6,182.18K,-1.09,1157.04,1148.86,1158.7,1148.59,0.71
2015-07-23,14.701,14.74,14.96,14.545,28.25K,-0.2,1094.1,1093.4,1104.9,1086.1,204.07K,0.24,1162.13,1156.87,1167.1,1156.58,0.44
2015-07-24,14.488,14.615,14.71,14.33,54.03K,-1.45,1085.5,1089.5,1100.9,1072.3,249.02K,-0.79,1170.35,1162.13,1175.15,1159.95,0.71
2015-07-25,,,,,,,,,,,,,,,,,
2015-07-26,,,,,,,,,,,,,,,,,
2015-07-27,14.605,14.69,14.74,14.495,31.24K,0.81,1096.4,1098.6,1104.4,1087.7,191.96K,1.0,1167.56,1170.75,1174.6,1164.6,-0.24
2015-07-28,14.642,14.515,14.675,14.51,27.41K,0.25,1096.2,1094.1,1098.2,1090.7,176.08K,-0.02,1160.46,1167.4,1171.42,1159.75,-0.61
2015-07-29,14.743,14.64,14.9,14.57,36.95K,0.69,1092.6,1094.5,1100.9,1088.9,159.14K,-0.33,1162.04,1160.56,1162.35,1155.63,0.14
2015-07-30,14.696,14.775,14.815,14.58,32.48K,-0.32,1088.7,1096.6,1098.2,1081.5,169.10K,-0.36,1173.17,1162.03,1175.5,1161.7,0.96
2015-07-31,14.745,14.695,14.97,14.51,46.31K,0.33,1095.1,1087.7,1103.0,1079.2,174.13K,0.59,1166.67,1172.98,1174.55,1157.29,-0.55
2015-08-01,,,,,,,,,,,,,,,,,
2015-08-02,,,,,,,,,,,,,,,,,
2015-08-03,14.515,14.75,14.765,14.39,37.74K,-1.56,1089.4,1095.1,1098.0,1085.1,105.92K,-0.52,1171.04,1167.15,1171.9,1162.71,0.37
2015-08-04,14.557,14.45,14.625,14.345,35.56K,0.29,1090.7,1085.3,1094.4,1080.2,114.10K,0.12,1169.37,1170.98,1172.8,1160.06,-0.14
2015-08-05,14.553,14.545,14.675,14.465,34.45K,-0.03,1085.6,1087.3,1091.7,1082.0,116.05K,-0.47,1173.91,1169.13,1177.07,1167.96,0.39
2015-08-06,14.677,14.545,14.735,14.49,32.73K,0.85,1090.1,1084.1,1093.3,1082.7,94.61K,0.41,1163.68,1173.74,1174.45,1162.84,-0.87
2015-08-07,14.821,14.63,14.99,14.565,62.03K,0.98,1094.1,1088.8,1098.9,1081.4,172.49K,0.37,1164.7,1163.86,1172.24,1161.2,0.09
2015-08-08,,,,,,,,,,,,,,,,,
2015-08-09,,,,,,,,,,,,,,,,,
2015-08-10,15.292,14.75,15.375,14.705,57.54K,3.18,1104.1,1094.0,1108.5,1089.0,148.93K,0.91,1159.2,1164.75,1169.8,1158.76,-0.47
2015-08-11,15.284,15.23,15.38,15.065,64.51K,-0.05,1107.7,1103.8,1119.1,1093.3,191.83K,0.33,1179.23,1159.21,1184.05,1156.49,1.73
2015-08-12,15.476,15.29,15.57,15.125,67.36K,1.26,1123.6,1108.2,1125.5,1101.1,193.70K,1.44,1173.58,1179.11,1196.4,1171.89,-0.48
2015-08-13,15.399,15.515,15.555,15.265,48.73K,-0.5,1115.6,1125.2,1126.3,1112.8,129.21K,-0.71,1178.51,1173.79,1183.0,1170.2,0.42
2015-08-14,15.213,15.4,15.585,15.14,46.38K,-1.21,1112.7,1114.6,1120.4,1111.1,102.23K,-0.26,1179.33,1178.82,1183.85,1176.33,0.07
2015-08-15,,,,,,,,,,,,,,,,,
2015-08-16,,,,,,,,,,,,,,,,,
2015-08-17,15.298,15.225,15.375,15.18,30.12K,0.56,1118.4,1113.5,1122.2,1112.9,92.58K,0.51,1183.36,1179.55,1186.5,1178.47,0.34
2015-08-18,14.79,15.3,15.325,14.68,63.49K,-3.32,1116.9,1117.2,1120.4,1108.5,119.95K,-0.13,1186.07,1183.32,1187.85,1181.14,0.23
2015-08-19,15.179,14.865,15.32,14.795,62.38K,2.63,1127.9,1117.2,1134.3,1115.5,154.35K,0.98,1184.16,1185.75,1189.0,1181.83,-0.16
2015-08-20,15.517,15.27,15.56,15.255,53.43K,2.23,1153.2,1133.3,1153.7,1132.1,187.18K,2.24,1184.93,1184.16,1192.95,1179.75,0.07
2015-08-21,15.301,15.54,15.715,15.105,58.06K,-1.39,1159.6,1153.3,1167.9,1148.5,196.06K,0.55,1195.85,1184.94,1196.41,1184.34,0.92
2015-08-22,,,,,,,,,,,,,,,,,
2015-08-23,,,,,,,,,,,,,,,,,
2015-08-24,14.762,15.345,15.39,14.555,100.31K,-3.52,1153.6,1160.2,1169.8,1145.1,264.14K,-0.52,1190.94,1195.51,1208.37,1186.87,-0.41
2015-08-25,14.61,14.795,14.93,14.52,67.84K,-1.03,1138.3,1155.7,1156.3,1134.0,199.69K,-1.33,1190.95,1190.95,1198.8,1175.25,0.0
2015-08-26,14.041,14.675,14.705,13.91,69.36K,-3.89,1124.6,1139.9,1146.0,1116.9,207.12K,-1.2,1183.2,1190.94,1195.0,1182.74,-0.65
2015-08-27,14.417,14.1,14.56,14.05,59.87K,2.68,1122.6,1125.0,1128.5,1117.0,143.05K,-0.18,1174.13,1183.08,1189.1,1171.28,-0.77
2015-08-28,14.549,14.505,14.67,14.35,46.53K,0.92,1134.0,1124.4,1140.3,1123.1,152.11K,1.02,1179.87,1174.33,1185.05,1172.35,0.49
2015-08-29,,,,,,,,,,,,,,,,,
2015-08-30,,,,,,,,,,,,,,,,,
2015-08-31,14.586,14.58,14.67,14.39,29.89K,0.25,1132.5,1132.7,1136.3,1125.0,98.95K,-0.13,1182.82,1180.75,1185.8,1179.4,0.25
2015-09-01,14.62,14.595,14.755,14.495,36.88K,0.23,1139.8,1133.8,1147.3,1133.8,128.87K,0.64,1180.05,1183.1,1183.9,1170.4,-0.23
2015-09-02,14.667,14.585,14.815,14.425,38.22K,0.32,1133.6,1139.0,1141.9,1131.2,111.57K,-0.54,1184.08,1180.48,1185.6,1175.73,0.34
2015-09-03,14.707,14.66,14.95,14.55,32.24K,0.27,1124.5,1133.2,1133.8,1121.0,106.47K,-0.8,1191.04,1183.95,1193.75,1182.82,0.59
2015-09-04,14.549,14.69,14.825,14.475,26.61K,-1.07,1121.4,1124.5,1133.1,1115.7,113.53K,-0.28,1201.33,1190.57,1201.76,1187.25,0.86
2015-09-05,,,,,,,,,,,,,,,,,
2015-09-06,,,,,,,,,,,,,,,,,
2015-09-07,14.755,14.55,14.88,14.44,42.66K,1.42,1121.0,1123.0,1126.0,1114.7,142.51K,-0.04,1203.4,1201.42,1208.0,1197.88,0.17
2015-09-08,14.75,14.75,14.75,14.75,0.01K,-0.03,1120.8,1117.5,1124.5,1117.5,0.02K,-0.02,1194.96,1203.73,1209.6,1192.74,-0.7
2015-09-09,14.576,14.795,14.93,14.56,34.42K,-1.18,1102.0,1121.0,1124.7,1100.1,178.30K,-1.68,1191.51,1194.93,1196.3,1185.84,-0.29
2015-09-10,14.645,14.59,14.845,14.535,33.33K,0.47,1109.3,1105.7,1114.1,1102.5,121.43K,0.66,1182.93,1190.88,1199.7,1181.54,-0.72
2015-09-11,14.505,14.685,14.745,14.25,41.11K,-0.96,1103.3,1110.2,1111.9,1097.7,119.50K,-0.54,1182.69,1182.93,1186.8,1181.85,-0.02
2015-09-12,,,,,,,,,,,,,,,,,
2015-09-13,,,,,,,,,,,,,,,,,
2015-09-14,14.363,14.555,14.59,14.31,24.50K,-0.98,1107.7,1107.0,1109.8,1102.6,74.18K,0.4,1182.83,1182.4,1184.8,1177.61,0.01
2015-09-15,14.326,14.365,14.41,14.24,22.26K,-0.26,1102.6,1107.1,1108.5,1101.5,78.88K,-0.46,1179.13,1182.83,1187.7,1177.79,-0.31
2015-09-16,14.885,14.37,14.965,14.31,51.34K,3.9,1119.0,1104.4,1123.7,1103.0,131.15K,1.49,1170.22,1179.1,1182.4,1170.04,-0.76
2015-09-17,14.984,14.925,15.275,14.77,42.38K,0.67,1117.0,1118.7,1136.0,1114.7,143.64K,-0.18,1166.89,1170.12,1173.5,1158.43,-0.28
2015-09-18,15.163,15.12,15.435,15.015,46.42K,1.19,1137.8,1130.0,1141.5,1126.9,151.72K,1.86,1173.04,1166.34,1173.59,1160.76,0.53
2015-09-19,,,,,,,,,,,,,,,,,
2015-09-20,,,,,,,,,,,,,,,,,
2015-09-21,15.221,15.165,15.245,15.08,22.25K,0.38,1132.8,1138.7,1139.4,1128.7,87.12K,-0.44,1178.45,1173.58,1181.29,1170.9,0.46
2015-09-22,14.756,15.18,15.22,14.695,45.91K,-3.05,1124.8,1132.6,1136.1,1120.5,117.44K,-0.71,1185.56,1178.45,1188.71,1174.8,0.6
2015-09-23,14.789,14.765,14.91,14.685,26.77K,0.22,1131.5,1123.8,1134.0,1121.1,96.17K,0.6,1194.94,1185.56,1196.05,1183.52,0.79
2015-09-24,15.13,14.765,15.18,14.745,45.68K,2.31,1153.8,1130.0,1156.4,1129.5,219.68K,1.97,1191.14,1195.02,1200.9,1188.99,-0.32
2015-09-25,15.111,15.07,15.185,14.945,29.90K,-0.13,1145.6,1151.0,1151.1,1140.1,140.35K,-0.71,1193.07,1191.55,1199.6,1188.94,0.16
2015-09-26,,,,,,,,,,,,,,,,,
2015-09-27,,,,,,,,,,,,,,,,,
2015-09-28,14.538,15.07,15.11,14.47,57.21K,-3.79,1131.7,1145.0,1147.8,1127.3,143.47K,-1.21,1196.04,1193.45,1197.05,1192.5,0.25
2015-09-29,14.573,14.585,14.7,14.455,33.13K,0.24,1126.8,1131.4,1134.3,1123.5,105.55K,-0.43,1196.02,1195.69,1199.67,1193.96,0.0
2015-09-30,14.518,14.605,14.725,14.435,37.06K,-0.38,1115.2,1127.2,1127.7,1110.8,156.47K,-1.03,1185.29,1195.4,1197.45,1180.7,-0.9
2015-10-01,14.511,14.5,14.67,14.43,28.15K,-0.05,1113.7,1114.5,1118.5,1110.3,83.39K,-0.13,1178.71,1185.28,1185.9,1174.97,-0.56
2015-10-02,15.263,14.49,15.3,14.36,70.56K,5.18,1136.6,1112.5,1140.9,1103.8,190.00K,2.06,1173.1,1178.89,1185.7,1172.58,-0.48
2015-10-03,,,,,,,,,,,,,,,,,
2015-10-04,,,,,,,,,,,,,,,,,
2015-10-05,15.708,15.25,15.73,15.1,61.89K,2.92,1137.6,1137.0,1141.6,1129.6,119.48K,0.09,1161.01,1172.85,1175.6,1159.2,-1.03
2015-10-06,15.984,15.62,16.09,15.57,60.22K,1.76,1146.4,1134.7,1151.0,1134.5,128.18K,0.77,1161.58,1161.23,1170.05,1160.69,0.05
2015-10-07,16.094,15.89,16.115,15.82,44.10K,0.69,1148.7,1146.5,1153.6,1141.3,113.15K,0.2,1158.81,1161.57,1168.9,1151.51,-0.24
2015-10-08,15.766,16.055,16.08,15.375,59.34K,-2.04,1144.3,1145.0,1150.9,1135.9,121.19K,-0.38,1152.98,1159.68,1163.5,1152.05,-0.5
2015-10-09,15.818,15.68,16.01,15.585,41.67K,0.33,1155.9,1138.1,1159.3,1138.0,134.87K,1.01,1148.05,1152.85,1153.31,1140.07,-0.43
2015-10-10,,,,,,,,,,,,,,,,,
2015-10-11,,,,,,,,,,,,,,,,,
2015-10-12,15.864,15.795,16.075,15.765,36.44K,0.29,1164.5,1155.0,1168.6,1154.3,111.80K,0.74,1144.16,1147.9,1150.8,1140.34,-0.34
2015-10-13,15.907,15.815,15.985,15.615,40.67K,0.27,1165.4,1162.8,1168.6,1151.3,139.53K,0.08,1150.29,1144.16,1152.85,1143.77,0.54
2015-10-14,16.117,15.91,16.195,15.79,60.33K,1.32,1179.8,1168.2,1189.9,1162.5,199.97K,1.24,1137.01,1150.29,1155.6,1135.54,-1.15
2015-10-15,16.164,16.13,16.195,15.9,47.36K,0.29,1187.5,1184.0,1191.7,1173.9,192.31K,0.65,1123.04,1137.01,1140.0,1121.24,-1.23
2015-10-16,16.114,16.12,16.165,15.935,32.34K,-0.31,1183.1,1182.5,1184.8,1174.3,108.91K,-0.37,1131.44,1123.13,1133.53,1122.68,0.75
2015-10-17,,,,,,,,,,,,,,,,,
2015-10-18,,,,,,,,,,,,,,,,,
2015-10-19,15.841,16.015,16.04,15.735,35.46K,-1.69,1172.8,1176.9,1178.2,1168.3,108.77K,-0.87,1132.06,1131.72,1133.6,1119.58,0.05
2015-10-20,15.917,15.83,15.965,15.74,38.77K,0.48,1177.5,1170.6,1181.4,1167.2,124.73K,0.4,1131.49,1132.06,1135.9,1126.85,-0.05
2015-10-21,15.71,15.9,15.94,15.61,40.33K,-1.3,1167.1,1175.5,1179.3,1163.2,122.07K,-0.88,1140.07,1131.48,1141.97,1128.6,0.76
2015-10-22,15.837,15.68,15.91,15.64,33.50K,0.81,1166.1,1166.8,1171.8,1161.4,117.32K,-0.09,1130.36,1140.03,1142.12,1129.64,-0.85
2015-10-23,15.827,15.815,16.1,15.705,48.55K,-0.06,1162.8,1165.9,1179.4,1158.6,150.80K,-0.28,1136.01,1130.35,1137.96,1123.15,0.5
2015-10-24,,,,,,,,,,,,,,,,,
2015-10-25,,,,,,,,,,,,,,,,,
2015-10-26,15.905,15.845,15.98,15.77,24.97K,0.49,1166.2,1163.8,1169.6,1162.0,84.87K,0.29,1129.63,1136.75,1139.2,1128.43,-0.56
2015-10-27,15.863,15.84,15.95,15.78,27.45K,-0.26,1165.8,1163.0,1168.8,1160.5,91.66K,-0.03,1136.14,1129.63,1137.45,1129.1,0.58
2015-10-28,16.293,15.86,16.37,15.72,72.13K,2.71,1176.1,1166.7,1183.1,1152.1,187.31K,0.88,1145.6,1135.75,1149.4,1128.18,0.83
2015-10-29,15.55,15.935,16.01,15.535,62.48K,-4.56,1147.3,1156.1,1162.5,1144.2,155.61K,-2.45,1142.19,1146.18,1148.39,1140.6,-0.3
2015-10-30,15.567,15.6,15.655,15.475,40.00K,0.11,1141.4,1146.6,1149.8,1138.4,123.17K,-0.51,1141.16,1142.17,1142.85,1136.1,-0.09
2015-10-31,,,,,,,,,,,,,,,,,
2015-11-01,,,,,,,,,,,,,,,,,
2015-11-02,15.408,15.535,15.55,15.25,40.80K,-1.02,1135.9,1141.3,1142.7,1132.2,106.36K,-0.48,1138.38,1140.66,1144.2,1136.65,-0.24
2015-11-03,15.239,15.4,15.45,15.2,35.44K,-1.1,1114.1,1132.9,1138.0,1113.6,157.45K,-1.92,1129.91,1138.38,1138.88,1128.85,-0.74
2015-11-04,15.058,15.255,15.325,15.025,39.66K,-1.19,1106.2,1117.4,1122.3,1105.6,157.67K,-0.71,1135.25,1129.91,1139.04,1127.9,0.47
2015-11-05,14.983,15.065,15.09,14.91,42.80K,-0.5,1104.2,1106.8,1111.3,1102.2,144.64K,-0.18,1137.91,1135.21,1143.14,1134.89,0.23
2015-11-06,14.691,14.96,15.045,14.685,54.95K,-1.95,1087.7,1103.2,1109.7,1084.5,199.87K,-1.49,1152.78,1137.96,1155.84,1136.55,1.31
2015-11-07,,,,,,,,,,,,,,,,,
2015-11-08,,,,,,,,,,,,,,,,,
2015-11-09,14.413,14.73,14.76,14.395,50.39K,-1.89,1088.1,1089.1,1094.9,1087.4,141.89K,0.04,1158.79,1153.6,1162.7,1152.1,0.52
2015-11-10,14.356,14.515,14.555,14.265,58.43K,-0.4,1088.5,1090.8,1094.8,1084.0,144.17K,0.04,1158.93,1158.78,1162.74,1156.15,0.01
2015-11-11,14.263,14.375,14.49,14.23,50.93K,-0.65,1084.9,1088.5,1093.5,1083.2,171.73K,-0.33,1155.23,1158.9,1159.19,1153.3,-0.32
2015-11-12,14.225,14.275,14.465,14.155,67.76K,-0.27,1081.0,1085.4,1089.0,1073.0,208.30K,-0.36,1159.28,1155.28,1163.04,1151.42,0.35
2015-11-13,14.204,14.25,14.35,14.14,39.52K,-0.15,1080.9,1083.5,1088.0,1078.2,130.83K,-0.01,1170.34,1158.88,1171.64,1157.57,0.95
2015-11-14,,,,,,,,,,,,,,,,,
2015-11-15,,,,,,,,,,,,,,,,,
2015-11-16,14.222,14.265,14.42,14.17,43.02K,0.13,1083.6,1087.9,1097.4,1080.5,151.38K,0.25,1169.64,1170.25,1175.66,1169.64,-0.06
2015-11-17,14.171,14.22,14.25,14.08,48.10K,-0.36,1068.6,1082.4,1085.1,1064.4,181.46K,-1.38,1169.77,1169.63,1173.25,1167.43,0.01
2015-11-18,14.081,14.145,14.21,13.99,48.03K,-0.64,1068.7,1070.2,1074.6,1062.0,154.64K,0.01,1166.3,1169.52,1175.75,1166.18,-0.3
2015-11-19,14.222,14.14,14.37,14.09,47.79K,1.0,1077.9,1069.3,1086.6,1068.3,177.56K,0.86,1155.66,1166.39,1168.3,1155.5,-0.91
2015-11-20,14.096,14.23,14.37,14.04,48.93K,-0.89,1076.3,1079.7,1087.2,1074.9,157.70K,-0.15,1154.62,1155.86,1160.62,1150.8,-0.09
2015-11-21,,,,,,,,,,,,,,,,,
2015-11-22,,,,,,,,,,,,,,,,,
2015-11-23,14.032,14.135,14.155,13.855,58.08K,-0.45,1066.8,1076.4,1076.5,1065.0,178.09K,-0.88,1158.86,1154.61,1161.98,1154.39,0.37
2015-11-24,14.159,14.09,14.27,14.02,59.73K,0.91,1073.8,1068.5,1080.7,1068.1,158.53K,0.66,1146.72,1158.86,1160.2,1146.45,-1.05
2015-11-25,14.158,14.16,14.24,13.995,54.20K,-0.01,1070.0,1075.0,1080.4,1067.1,148.66K,-0.35,1144.21,1146.72,1148.7,1142.21,-0.22
2015-11-26,14.048,14.17,14.375,13.93,53.21K,-0.78,1056.2,1070.6,1073.9,1051.6,187.11K,-1.29,1148.88,1144.21,1151.44,1141.96,0.41
